Time(s),Angle(deg)
1.6666666666666667,-7.7981971340517475
1.7083333333333333,-10.160722927637124
1.75,-12.258546602657361
1.7916666666666667,-14.392334467392175
1.8333333333333333,-19.082854091303517
1.875,-20.744011611947684
1.9166666666666667,-22.833654177917538
1.9583333333333333,-24.673281512561317
2.0,-28.261241441572366
2.0416666666666665,-29.762972796029345
2.0833333333333335,-31.26373169437744
2.125,-32.80495033810132
2.1666666666666665,-35.62201064174914
2.2083333333333335,-36.6669276160485
2.25,-38.00230739598558
2.2916666666666665,-38.953514330386525
2.3333333333333335,-40.80513755443414
2.375,-41.62152260446595
2.4166666666666665,-42.34174776529221
2.4583333333333335,-42.95459151111277
2.5,-43.87669728592459
2.5416666666666665,-44.28511649936894
2.5833333333333335,-44.48935594937342
2.625,-44.69360837772928
2.6666666666666665,-45.10176859548733
2.7083333333333335,-45.10176859548733
2.75,-44.89786859388772
2.7916666666666665,-44.592207743434244
2.8333333333333335,-44.18445679710288
2.875,-43.772421167865446
2.9166666666666665,-43.363422958383296
2.9583333333333335,-42.54596832547293
3.0,-41.213137597533404
3.0416666666666665,-40.60129464500449
3.0833333333333335,-39.564522309363554
3.125,-38.54693255395341
3.1666666666666665,-36.37822458032156
3.2083333333333335,-35.21759296819272
3.25,-34.010376024224826
3.2916666666666665,-32.6484408499698
3.3333333333333335,-29.67308211207782
3.375,-28.18314570981545
3.4166666666666665,-26.435422937814735
3.4583333333333335,-24.68398596735571
3.5,-21.047915198089925
3.5416666666666665,-19.07766297993436
3.5833333333333335,-17.10272896905238
3.625,-15.127794958170398
3.6666666666666665,-10.82511166537006
3.7083333333333335,-8.480341879366307
3.75,-6.115503566285412
3.7916666666666665,-4.075255879633374
3.8333333333333335,0.4384795481653793
3.875,2.782005537252134
3.9166666666666665,5.128191041852838
3.9583333333333335,7.179393851885467
4.0,11.798155369845714
4.041666666666667,13.786978131534978
4.083333333333333,15.925214225282309
4.125,17.87869659584134
4.166666666666667,21.692170763588965
4.208333333333333,23.275808498586162
4.25,25.24813877128473
4.291666666666667,27.025512511163992
4.333333333333333,30.182384313960146
4.375,31.443524873793184
4.416666666666667,32.83253258192729
4.458333333333333,34.30348926422189
4.5,36.42803664089576
4.541666666666667,37.69424046668917
4.583333333333333,38.75162833496177
4.625,39.48580151290955
4.666666666666667,40.93663400706696
4.708333333333333,41.462580570012484
4.75,42.18444331578877
4.791666666666667,42.71768047669488
4.833333333333333,43.33368363814676
4.875,43.54715763062341
4.916666666666667,43.64844469440066
4.958333333333333,43.64844469440066
5.0,43.541876844102774
5.041666666666667,43.44060893590509
5.083333333333333,43.13232116056583
5.125,42.817369698132936
5.166666666666667,42.09618113490372
5.208333333333333,41.47536493830132
5.25,40.9513339304403
5.291666666666667,40.21911612516805
5.333333333333333,38.45370921670597
5.375,37.63106403780795
5.416666666666667,36.57682716081769
5.458333333333333,35.43560703383713
5.5,33.079261460077696
5.541666666666667,31.664893658954092
5.583333333333333,30.36172146162631
5.625,28.85566121971652
5.666666666666667,25.71483375520651
5.708333333333333,24.081175038921657
5.75,22.45154645600387
5.791666666666667,20.556045219583467
5.833333333333333,16.82464822042302
5.875,14.706545281527587
5.916666666666667,12.623563597702624
5.958333333333333,10.682214985593284
6.0,6.4043527263841415
6.041666666666667,4.220283885757778
6.083333333333333,2.0350344568598926
6.125,0.0
6.166666666666667,-4.365257735027939
6.208333333333333,-6.532136687852443
6.25,-8.580918211443475
6.291666666666667,-10.539183728628217
6.333333333333333,-14.52924968584989
6.375,-16.364918169880923
6.416666666666667,-18.29732912076986
6.458333333333333,-19.99550552181745
6.5,-23.313105576714122
6.541666666666667,-25.008131315832628
6.583333333333333,-26.500090003651252
6.625,-27.799123131999636
6.666666666666667,-30.266883066697602
6.708333333333333,-31.560048406252008
6.75,-32.526657694154636
6.791666666666667,-33.649859968009395
6.833333333333333,-35.45369107477134
6.875,-36.17613805695953
6.916666666666667,-36.89880570570847
6.958333333333333,-37.53341427145912
7.0,-38.14100238292855
7.041666666666667,-38.862744050738
7.083333333333333,-39.1777984372323
7.125,-39.49207945019532
7.166666666666667,-39.69489039378962
7.208333333333333,-39.80557109226518
7.25,-39.80557109226518
7.291666666666667,-39.49207945019532
7.333333333333333,-39.400660663479414
7.375,-38.682268378189775
7.416666666666667,-38.25442035251717
7.458333333333333,-37.849709819692436
7.5,-37.12928320559999
7.541666666666667,-35.889592456889886
7.583333333333333,-35.16911353378211
7.625,-34.12987296634202
7.666666666666667,-33.289963837536106
7.708333333333333,-31.210932649719467
7.75,-29.923930025081205
7.791666666666667,-28.690915070775617
7.833333333333333,-27.40283750848883
7.875,-24.503550951469265
7.916666666666667,-23.00887008282288
7.958333333333333,-21.265449632906268
8.0,-19.760791614469554
8.041666666666666,-16.104164540650828
8.083333333333334,-14.212104731234973
8.125,-12.528807709151522
8.166666666666666,-10.628547993686254
8.208333333333334,-6.548655738900607
8.25,-4.643272583118858
8.291666666666666,-2.6157548754218567
8.333333333333334,-0.5831430140978853
8.375,3.512469679059583
8.416666666666666,5.565098834911646
8.458333333333334,7.633330587231303
8.5,9.41417450548248
8.541666666666666,13.35842962867037
8.583333333333334,15.139317824216596
8.625,16.854135371696362
8.666666666666666,18.666914274220215
8.708333333333334,22.019990322037494
8.75,23.604115042914238
8.791666666666666,25.05242573990958
8.833333333333334,26.302529396708316
8.875,28.79792985016876
8.916666666666666,30.182384313960146
8.958333333333334,31.16514684334127
9.0,32.34744349944203
9.041666666666666,34.13799981762139
9.083333333333334,34.8716763731932
9.125,35.606009041048935
9.166666666666666,36.34075720940161
9.208333333333334,37.30949858112534
9.25,37.92646232503863
9.291666666666666,38.15722658736906
9.333333333333334,38.45370921670597
9.375,38.86607216928015
9.416666666666666,38.86607216928015
9.458333333333334,38.86607216928015
9.5,38.86607216928015
9.541666666666666,38.45370921670597
9.583333333333334,38.0420262667791
9.625,37.72061730835451
9.666666666666666,37.220862809085645
9.708333333333334,36.25383773744479
9.75,35.52063055073
9.791666666666666,34.90807918356411
9.833333333333334,34.05578030093244
9.875,32.06739160326049
9.916666666666666,31.21461210742084
9.958333333333334,30.035259701557194
10.0,28.85566121971652
